Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Gift Card,Status
thock-switches-sky-clicky,,,,,,,,70 switches,,,TH-SW-SKY-70,250,,0,deny,manual,41.00,,TRUE,TRUE,g,FALSE,active
thock-switches-sky-clicky,,,,,,,,110 switches,,,TH-SW-SKY-110,390,,0,deny,manual,62.00,,TRUE,TRUE,g,FALSE,active
thock-keycaps-obsidian,Obsidian Keycap Set,"<p>Cherry-profile PBT, doubleshot legends that will outlive the board. 142 keys, covers 60% through full-size. Charcoal base, bone legends, a single ember accent on Escape.</p>",THOCK,Keycaps,"keycaps,pbt,cherry-profile",TRUE,Title,Default Title,,,TH-KC-OBS,640,,0,deny,manual,119.00,,TRUE,TRUE,g,FALSE,active
thock-keycaps-milk-tea,Milk Tea Keycap Set,"<p>Cherry-profile PBT doubleshot in warm beige and muted brown. 142 keys. The colorway that got everyone into this hobby, done properly.</p>",THOCK,Keycaps,"keycaps,pbt,cherry-profile",TRUE,Title,Default Title,,,TH-KC-MLK,640,,0,deny,manual,119.00,,TRUE,TRUE,g,FALSE,active
thock-keycaps-botanical,Botanical Keycap Set,"<p>Cherry-profile PBT doubleshot in deep green and cream, with a dye-sub novelty set. 148 keys. Limited run of 500.</p>",THOCK,Keycaps,"keycaps,pbt,cherry-profile,limited",TRUE,Title,Default Title,,,TH-KC-BOT,660,,0,deny,manual,129.00,,TRUE,TRUE,g,FALSE,active
thock-coiled-cable,Aviator Coiled Cable,"<p>Double-sleeved coiled USB-C with a machined aviator connector. 1.5m extended, 0.4m coiled. Matched to each colorway.</p>",THOCK,Accessory,"cable,accessory",TRUE,Colorway,Obsidian,,,TH-CBL-OBS,180,,0,deny,manual,49.00,,TRUE,TRUE,g,FALSE,active
thock-coiled-cable,,,,,,,,Milk Tea,,,TH-CBL-MLK,180,,0,deny,manual,49.00,,TRUE,TRUE,g,FALSE,active
thock-coiled-cable,,,,,,,,Botanical,,,TH-CBL-BOT,180,,0,deny,manual,49.00,,TRUE,TRUE,g,FALSE,active
thock-coiled-cable,,,,,,,,Arctic,,,TH-CBL-ARC,180,,0,deny,manual,49.00,,TRUE,TRUE,g,FALSE,active
thock-wrist-rest,Machined Wrist Rest,<p>Weighted to sit exactly flush with a Model 65. Choose cold-rolled aluminium or oiled walnut.</p>,THOCK,Accessory,"wrist-rest,accessory",TRUE,Material,Aluminium,,,TH-WR-ALU,890,,0,deny,manual,79.00,,TRUE,TRUE,g,FALSE,active
thock-wrist-rest,,,,,,,,Walnut,,,TH-WR-WAL,610,,0,deny,manual,89.00,,TRUE,TRUE,g,FALSE,active
thock-service-kit,Switch Service Kit,"<p>Switch puller, keycap puller, opener, tweezers, brush, and a 5ml bottle of 205g0. Everything needed to pull a board apart and put it back together quieter.</p>",THOCK,Accessory,"tools,accessory",TRUE,Title,Default Title,,,TH-KIT-SVC,310,,0,deny,manual,45.00,,TRUE,TRUE,g,FALSE,active
thock-travel-case,Hard Travel Case,"<p>Die-cut EVA foam interior sized for 65% and 75% boards, with a cutout for a cable and a set of spare switches. Water-resistant shell.</p>",THOCK,Accessory,"case,accessory",TRUE,Title,Default Title,,,TH-CASE-65,540,,0,deny,manual,59.00,,TRUE,TRUE,g,FALSE,active
